POLICY_NO,POLICY_NAME,RECEIPT_DATE,PAYMENT_MODE,CHEQUE_NO,CHEQUE_DATE,CHEQUE_AMT,EXCESS_PREMIUM_PAID,PREMIUM_AMT,DEPOSIT_AMT,SERVICE_TAX,EDU_CESS,TOTAL_PREMIUM,TOTAL_FUND_VALUE,PAYABLE_BY,PREMIUM_PAY_FREQUENCY,PREMIUM_PAYMENT,ANNUAL_PREMIUM,POLICY_STATUS,REASON,REMERK,DUE_DATE,NEXT_PREMIUM_DUE_DATE,TOT_PREMIUM,LIFE_ASSURED_NAME,CUSTOMER_ID,RECEIPT_NO,BASE_PLAN_PRODUCT_NAME,BASE_PREMIUM_PAID,BASE_PREMIUM_PAID_TAX,BASE_PREMIUM_DUE,BASE_PREMIUM_TAX_SECTION,RIDER_NAME_1,RIDER_PREMIUM_PAID_1,RIDER_PREMIUM_PAID_1_TAX,RIDER_PREMIUM_DUE_1,RIDER_TAX_SECTION_1,PROCESSED_FLAG,PROCESSED_DATE,INSER_DT_TM
1814,HealthSuraksha,15/11/2003,cash,215558899,12/04/2019,5167,19030,16350,18635,330,197,35380,405339,LifePayMoneyBack,half-yearly,41805,501660,NON-PREMIUM,Health,Please-pay-your-installment,18126,03/10/2020,58155,Shubham,108,9193,Car-Insurance,42543,3785,27543,80BB,Term-rider,27467,-62533,22467,150CB,FALSE,14/01/2020,30/11/2020
1815,iHealthPlan,14/05/2014,cash,784502060,08/07/2019,7681,19023,13360,15598,1720,191,32383,392462,HealthSuraksha,half-yearly,346806,4161672,PREMIUM,educational ,Its Good,17982,25/10/2020,360166,Sona,4958,9986,Life-Cover,40566,4057,25566,80BB,Disability-rider,11107,-78893,6107,150CB,FALSE,28/12/2020,15/02/2020
1816,LifePayMoneyBack,30/04/2004,email,242141736,12/10/2019,1181,19197,12859,10782,514,162,32056,270724,HealthSuraksha,yearly,470744,5648928,NON-PREMIUM,Personal-liberty,Its Good,17901,12/02/2020,483603,Sourabh,9763,7828,Health-Insurance,20660,3041,5660,80CCC,Disability-rider,20064,-69936,15064,50BC,FALSE,31/03/2020,26/03/2020
1817,LifePayMoneyBack,01/04/2009,email,793412731,11/08/2019,9081,17681,16877,6926,1619,139,34558,430889,LifePayMoneyBack,half-yearly,43248,518976,PREMIUM,Personal-liberty,Its Good,17952,02/06/2020,60125,Sona,8597,4182,Life-Cover,38913,2825,23913,80BB,Critical-illness-rider,40064,-49936,35064,150CB,TRUE,20/08/2020,08/09/2020
1818,HeartBeat,24/09/2012,cash,740490208,24/08/2019,2319,17901,11702,7997,1981,131,29603,51962,iHealthPlan,yearly,477115,5725380,PREMIUM,Personal-liberty,Its Good,18201,02/12/2020,488817,Shubham,3959,8999,Property-Insurance,23312,2100,8312,120CC,Critical-illness-rider,14243,-75757,9243,80CCC,TRUE,04/03/2020,19/02/2020
1819,iHealthPlan,17/05/2016,online,844670426,31/07/2019,8174,15419,17617,19096,649,109,33036,189456,HeartBeat,yearly,361284,4335408,PREMIUM,Personal-liberty,Its Good,18251,01/12/2020,378901,Sona,3375,1702,Life-Cover,20160,1518,5160,120CC,Term-rider,28710,-61290,23710,50BC,FALSE,08/04/2020,23/04/2020
1820,LifePayMoneyBack,17/04/2005,email,572964985,02/06/2019,8276,16943,16808,10024,130,175,33751,221853,HeartBeat,half-yearly,260351,3124212,NON-PREMIUM,Health,Its Good,18235,22/06/2020,277159,Surendra,7991,7520,Property-Insurance,37871,2649,22871,80CCC,Accidental-death-benefit-rider,14513,-75487,9513,150CB,FALSE,08/10/2020,10/01/2020
1821,LifePayMoneyBack,08/06/2013,email,881734199,17/06/2019,4902,11907,10076,16750,944,167,21983,276281,LifePayMoneyBack,quarterly ,299488,3593856,NON-PREMIUM,Health,Its Good,18096,11/01/2020,309564,Raja,1200,7146,Property-Insurance,23830,4024,8830,80BB,Critical-illness-rider,12902,-77098,7902,150CB,TRUE,20/09/2020,02/02/2020
1822,iHealthPlan,18/06/2002,email,780730407,26/07/2019,4434,16451,10918,17778,1942,110,27369,174352,HeartBeat,quarterly ,309768,3717216,PREMIUM,Health,Its Good,18203,07/01/2020,320686,Surendra,7333,9254,Property-Insurance,37759,2294,22759,80CCC,Disability-rider,34438,-55562,29438,150CB,FALSE,05/03/2020,06/06/2020
1823,HeartBeat,12/01/2003,email,367955231,03/07/2019,5320,14043,13279,12576,1617,164,27322,267724,LifePayMoneyBack,half-yearly,141556,1698672,PREMIUM,Personal-liberty,Please-pay-your-installment,18168,18/09/2020,154835,Raja,6762,4338,Health-Insurance,44646,3456,29646,80BB,Accidental-death-benefit-rider,42447,-47553,37447,150CB,FALSE,22/12/2020,31/08/2020
1824,LifePayMoneyBack,04/02/2004,email,466031015,13/01/2019,6029,12236,11359,16269,769,120,23595,49805,HeartBeat,half-yearly,338517,4062204,PREMIUM,Personal-liberty,Please-pay-your-installment,17947,16/07/2020,349876,Sourabh,3282,8737,Life-Cover,37049,3412,22049,80BB,Term-rider,14163,-75837,9163,50BC,TRUE,01/08/2020,30/01/2020
1825,LifePayMoneyBack,04/05/1990,online,258835704,11/08/2019,7937,19681,19023,10909,1405,148,38704,498672,HeartBeat,half-yearly,349036,4188432,PREMIUM,educational ,Please-pay-your-installment,18158,13/12/2020,368059,Shubham,4597,5102,Car-Insurance,44729,4253,29729,80CCC,Term-rider,36969,-53031,31969,150CB,TRUE,24/10/2020,06/07/2020
1826,HeartBeat,09/09/2010,email,108654670,03/01/2019,4845,16725,17100,9680,265,118,33825,81554,iHealthPlan,quarterly ,404810,4857720,NON-PREMIUM,educational ,Its Good,18055,24/11/2020,421910,Shubham,4102,3768,Property-Insurance,45027,1092,30027,80BB,Accidental-death-benefit-rider,27116,-62884,22116,50BC,FALSE,31/08/2020,30/05/2020
1827,LifePayMoneyBack,16/05/2006,cash,743376185,27/03/2019,3925,13498,19892,5259,1261,154,33390,412021,LifePayMoneyBack,half-yearly,231882,2782584,NON-PREMIUM,Personal-liberty,Please-pay-your-installment,17987,16/06/2020,251774,Raja,1485,4741,Car-Insurance,26806,2066,11806,80CCC,Disability-rider,34928,-55072,29928,50BC,TRUE,27/08/2020,21/01/2020
1828,LifePayMoneyBack,03/10/2008,online,666349100,17/12/2019,5182,13870,13366,18694,1955,113,27236,482286,HealthSuraksha,half-yearly,368535,4422420,PREMIUM,Personal-liberty,Its Good,17988,09/03/2020,381901,Sona,6728,6155,Health-Insurance,34456,2884,19456,80BB,Disability-rider,28037,-61963,23037,80CCC,TRUE,12/06/2020,09/03/2020
1829,LifePayMoneyBack,01/01/2001,online,439267944,17/09/2019,6781,12212,19494,16617,770,118,31706,442254,LifePayMoneyBack,quarterly ,201604,2419248,NON-PREMIUM,Personal-liberty,Its Good,18246,05/10/2020,221098,Surendra,7658,307,Car-Insurance,27831,3952,12831,80BB,Critical-illness-rider,40383,-49617,35383,80CCC,FALSE,02/11/2020,25/06/2020
1830,HeartBeat,16/08/2015,cash,136070935,01/11/2019,8611,17061,11732,14950,865,101,28793,104364,HealthSuraksha,half-yearly,345558,4146696,PREMIUM,Personal-liberty,Please-pay-your-installment,17952,05/12/2020,357290,Shubham,9683,2588,Health-Insurance,28281,4895,13281,120CC,Critical-illness-rider,14341,-75659,9341,150CB,TRUE,18/12/2020,04/08/2020
1831,HealthSuraksha,24/06/2013,cash,170168957,01/01/2019,3940,16812,17110,6940,722,142,33922,485324,HealthSuraksha,quarterly ,148362,1780344,NON-PREMIUM,educational ,Please-pay-your-installment,17991,22/12/2020,165472,Sourabh,6628,7913,Health-Insurance,20901,4730,5901,120CC,Critical-illness-rider,36317,-53683,31317,50BC,FALSE,09/03/2020,16/01/2020
1832,iHealthPlan,01/05/1997,email,994173526,27/07/2019,9083,16719,11786,15771,1687,134,28505,144168,HeartBeat,yearly,449645,5395740,PREMIUM,Health,Please-pay-your-installment,17901,11/02/2020,461431,Raja,9686,6864,Car-Insurance,27326,4525,12326,80BB,Disability-rider,37733,-52267,32733,80CCC,TRUE,05/11/2020,01/10/2020
1833,LifePayMoneyBack,01/03/2000,email,618619080,23/09/2019,8403,16731,12109,9645,1215,173,28840,287977,LifePayMoneyBack,half-yearly,99027,1188324,NON-PREMIUM,educational ,Its Good,18164,05/10/2020,111136,Shubham,7028,5989,Life-Cover,49617,3959,34617,120CC,Accidental-death-benefit-rider,22397,-67603,17397,150CB,TRUE,27/09/2020,23/02/2020
1834,HeartBeat,23/10/2002,online,410101732,13/07/2019,9739,15429,15003,3034,1989,180,30432,106506,LifePayMoneyBack,yearly,184258,2211096,NON-PREMIUM,Health,Its Good,18224,23/10/2020,199261,Shubham,1938,8657,Life-Cover,46121,3179,31121,80BB,Term-rider,22689,-67311,17689,150CB,TRUE,12/06/2020,01/11/2020
1835,HealthSuraksha,23/11/2012,email,449384166,13/08/2019,4018,12585,11658,19663,372,194,24243,270460,HealthSuraksha,yearly,94874,1138488,PREMIUM,Personal-liberty,Please-pay-your-installment,18080,08/09/2020,106532,Shubham,1736,5346,Life-Cover,33784,2575,18784,80CCC,Critical-illness-rider,14762,-75238,9762,50BC,TRUE,31/08/2020,10/01/2020
1836,LifePayMoneyBack,07/04/1991,email,457209747,17/01/2019,4690,18396,18898,4520,209,152,37294,26389,HeartBeat,quarterly ,280539,3366468,PREMIUM,Personal-liberty,Its Good,18200,07/09/2020,299437,Shubham,6111,5577,Property-Insurance,22605,1553,7605,80CCC,Accidental-death-benefit-rider,49670,-40330,44670,80CCC,TRUE,31/01/2020,07/03/2020
1837,HealthSuraksha,08/08/2005,cash,925186395,06/06/2019,7423,12659,15467,3217,1780,182,28126,61162,iHealthPlan,quarterly ,267107,3205284,NON-PREMIUM,educational ,Its Good,18182,09/10/2020,282574,Sona,3873,9904,Property-Insurance,24860,3080,9860,80BB,Accidental-death-benefit-rider,13157,-76843,8157,50BC,FALSE,16/02/2020,20/12/2020
1838,HealthSuraksha,12/06/1993,cash,587753136,23/05/2019,7946,13207,12008,4938,1147,179,25215,271225,HealthSuraksha,half-yearly,354576,4254912,PREMIUM,educational ,Its Good,17906,24/01/2020,366584,Sona,6475,9141,Life-Cover,27570,1202,12570,80CCC,Term-rider,47668,-42332,42668,50BC,TRUE,01/03/2020,16/03/2020
1839,HealthSuraksha,17/12/1996,cash,602085041,31/10/2019,5613,15669,14380,11119,1511,119,30049,470415,LifePayMoneyBack,yearly,340077,4080924,PREMIUM,Personal-liberty,Please-pay-your-installment,18158,10/08/2020,354457,Raja,762,6935,Car-Insurance,22096,1448,7096,80CCC,Accidental-death-benefit-rider,40829,-49171,35829,80CCC,TRUE,16/07/2020,21/04/2020
1840,LifePayMoneyBack,25/03/2009,email,567103145,17/06/2019,3314,17089,18199,6509,721,140,35288,348995,HealthSuraksha,half-yearly,128661,1543932,NON-PREMIUM,educational ,Please-pay-your-installment,18227,11/06/2020,146860,Sona,6816,2831,Life-Cover,34533,2936,19533,80BB,Critical-illness-rider,45343,-44657,40343,150CB,TRUE,09/08/2020,31/08/2020
1841,HealthSuraksha,25/08/2011,email,437033016,17/08/2019,9624,15465,11855,1039,939,115,27320,324576,HealthSuraksha,quarterly ,162450,1949400,NON-PREMIUM,educational ,Please-pay-your-installment,18124,17/08/2020,174305,Sourabh,7576,777,Life-Cover,23698,3577,8698,80CCC,Term-rider,17951,-72049,12951,150CB,TRUE,12/08/2020,25/10/2020
1842,HeartBeat,02/04/2018,online,519210222,20/01/2019,9657,16661,16941,1952,1424,191,33602,336323,LifePayMoneyBack,quarterly ,68954,827448,NON-PREMIUM,Health,Its Good,18034,16/04/2020,85895,Sourabh,7732,8417,Property-Insurance,40861,4063,25861,80BB,Term-rider,28231,-61769,23231,80CCC,TRUE,01/10/2020,03/06/2020
1843,iHealthPlan,23/05/2018,email,389726580,27/01/2019,9517,13894,11272,19919,584,166,25166,208894,iHealthPlan,half-yearly,448794,5385528,NON-PREMIUM,educational ,Its Good,17902,13/12/2020,460066,Raja,4462,6692,Life-Cover,45033,3948,30033,120CC,Critical-illness-rider,14475,-75525,9475,150CB,FALSE,15/10/2020,25/04/2020
1844,LifePayMoneyBack,22/12/2003,email,431564540,06/04/2019,1299,16893,12204,18558,1505,145,29097,461731,HeartBeat,half-yearly,180585,2167020,PREMIUM,Health,Please-pay-your-installment,18193,16/03/2020,192789,Sona,7159,1452,Property-Insurance,25993,4158,10993,80BB,Critical-illness-rider,31596,-58404,26596,80CCC,TRUE,24/12/2020,09/03/2020
1845,LifePayMoneyBack,10/04/2014,email,639656026,07/05/2019,9207,17003,18798,16746,973,100,35801,199852,HealthSuraksha,quarterly ,239926,2879112,PREMIUM,educational ,Its Good,17995,29/10/2020,258724,Shubham,5576,547,Health-Insurance,34871,1137,19871,80BB,Critical-illness-rider,13528,-76472,8528,80CCC,TRUE,13/06/2020,30/04/2020
1846,HealthSuraksha,07/11/2005,email,823451773,03/04/2019,5183,13755,18494,15202,463,128,32249,393157,iHealthPlan,yearly,304778,3657336,NON-PREMIUM,Health,Please-pay-your-installment,18256,07/11/2020,323272,Raja,5999,4249,Health-Insurance,23439,4580,8439,80CCC,Critical-illness-rider,10146,-79854,5146,80CCC,TRUE,28/06/2020,06/01/2020
1847,HeartBeat,16/06/2009,cash,696047576,26/03/2019,4804,12634,14354,10343,672,112,26988,49746,HeartBeat,half-yearly,55954,671448,PREMIUM,Personal-liberty,Its Good,18119,07/07/2020,70308,Raja,2940,9753,Car-Insurance,46343,4079,31343,80BB,Term-rider,43148,-46852,38148,150CB,TRUE,10/07/2020,29/09/2020
1848,HeartBeat,19/01/2010,email,438233925,28/09/2019,7513,16326,14759,3247,851,136,31085,363535,LifePayMoneyBack,yearly,264320,3171840,PREMIUM,educational ,Please-pay-your-installment,18024,21/12/2020,279079,Sona,3078,9235,Health-Insurance,32521,1442,17521,80CCC,Term-rider,32170,-57830,27170,150CB,TRUE,09/05/2020,26/03/2020
1849,HeartBeat,10/03/1998,email,551125783,15/08/2019,1952,18133,18456,3278,1390,120,36589,342599,LifePayMoneyBack,yearly,447222,5366664,NON-PREMIUM,Personal-liberty,Please-pay-your-installment,18001,03/02/2020,465678,Raja,9299,1601,Property-Insurance,30324,4578,15324,80CCC,Disability-rider,35071,-54929,30071,150CB,TRUE,25/08/2020,24/08/2020
1850,iHealthPlan,27/11/1991,email,979878357,29/01/2019,9816,14955,12365,12864,1909,187,27320,144360,HeartBeat,half-yearly,486715,5840580,PREMIUM,Personal-liberty,Its Good,18108,25/11/2020,499080,Surendra,5662,5783,Health-Insurance,38540,4349,23540,80BB,Critical-illness-rider,38714,-51286,33714,150CB,TRUE,09/08/2020,02/09/2020
1851,LifePayMoneyBack,30/08/2010,email,414032394,02/09/2019,8275,11568,10302,1282,366,196,21870,71337,HealthSuraksha,yearly,430512,5166144,NON-PREMIUM,Health,Please-pay-your-installment,18022,17/05/2020,440814,Sourabh,7899,4375,Life-Cover,43986,1611,28986,80BB,Disability-rider,41167,-48833,36167,50BC,TRUE,31/07/2020,01/09/2020
1852,HeartBeat,25/12/2000,cash,566325374,17/10/2019,5234,17499,18615,11752,1821,146,36114,131343,LifePayMoneyBack,half-yearly,260014,3120168,NON-PREMIUM,educational ,Its Good,18103,18/07/2020,278629,Raja,4767,5457,Property-Insurance,30052,2276,15052,80BB,Accidental-death-benefit-rider,48371,-41629,43371,150CB,FALSE,04/10/2020,01/03/2020
1853,LifePayMoneyBack,18/07/2001,cash,896950257,02/09/2019,9389,17689,18552,1901,1397,106,36241,134445,HealthSuraksha,quarterly ,396844,4762128,PREMIUM,Health,Its Good,18205,29/11/2020,415396,Sona,6292,5693,Car-Insurance,47250,4434,32250,80CCC,Accidental-death-benefit-rider,48230,-41770,43230,50BC,FALSE,30/12/2020,01/04/2020
1854,iHealthPlan,09/07/2001,cash,601625362,02/09/2019,9518,17403,13073,3636,1338,156,30476,492307,HeartBeat,half-yearly,459373,5512476,NON-PREMIUM,educational ,Its Good,17901,12/09/2020,472446,Raja,6611,6653,Property-Insurance,27206,4096,12206,80CCC,Disability-rider,39547,-50453,34547,150CB,TRUE,24/12/2020,13/01/2020
1855,iHealthPlan,26/08/2018,online,289911473,22/10/2019,8488,18213,17759,7911,218,159,35972,445108,LifePayMoneyBack,yearly,162624,1951488,PREMIUM,Personal-liberty,Please-pay-your-installment,18252,02/11/2020,180383,Raja,5586,4200,Car-Insurance,41855,1331,26855,80BB,Term-rider,12823,-77177,7823,50BC,FALSE,19/08/2020,14/01/2020
1856,HeartBeat,06/10/1999,online,358160884,24/09/2019,5893,16860,12351,8200,1214,129,29211,424823,iHealthPlan,yearly,349138,4189656,NON-PREMIUM,Health,Please-pay-your-installment,17902,07/12/2020,361489,Raja,2758,2500,Property-Insurance,42073,4591,27073,80BB,Critical-illness-rider,20143,-69857,15143,80CCC,TRUE,17/05/2020,16/08/2020
1857,HealthSuraksha,22/12/2003,online,309635511,09/12/2019,1525,15546,10813,11944,1789,164,26359,408264,HealthSuraksha,quarterly ,235726,2828712,NON-PREMIUM,Health,Its Good,17932,26/06/2020,246539,Sona,8204,6595,Car-Insurance,37613,1875,22613,80CCC,Disability-rider,29475,-60525,24475,80CCC,FALSE,11/12/2020,21/02/2020
1858,iHealthPlan,15/11/1991,email,902655984,26/06/2019,8975,11877,11488,11358,1378,199,23365,46610,HealthSuraksha,yearly,223417,2681004,NON-PREMIUM,Personal-liberty,Please-pay-your-installment,18069,20/02/2020,234905,Raja,6287,3835,Health-Insurance,24639,3248,9639,120CC,Accidental-death-benefit-rider,26278,-63722,21278,50BC,FALSE,07/01/2020,18/06/2020
1859,HealthSuraksha,17/04/1995,cash,780459872,24/04/2019,6114,17067,12355,14932,762,166,29422,321605,HealthSuraksha,yearly,490992,5891904,NON-PREMIUM,educational ,Please-pay-your-installment,18173,06/08/2020,503347,Raja,6463,9379,Life-Cover,45883,3491,30883,80BB,Term-rider,25226,-64774,20226,50BC,TRUE,13/01/2020,11/01/2020
1860,HealthSuraksha,12/07/2009,email,276856438,26/12/2019,4669,11557,18010,1551,903,182,29567,402457,LifePayMoneyBack,yearly,341047,4092564,NON-PREMIUM,Personal-liberty,Please-pay-your-installment,18002,06/09/2020,359057,Sona,8891,8519,Property-Insurance,48630,4552,33630,80BB,Term-rider,46119,-43881,41119,50BC,FALSE,21/04/2020,14/03/2020
1861,HeartBeat,27/10/2004,cash,574746220,15/07/2019,5230,10737,15463,8138,1470,166,26200,129337,HealthSuraksha,half-yearly,408782,4905384,NON-PREMIUM,Health,Its Good,17961,25/09/2020,424245,Raja,8396,1768,Life-Cover,43973,2722,28973,80BB,Term-rider,22846,-67154,17846,150CB,TRUE,02/02/2020,05/10/2020
1862,LifePayMoneyBack,27/08/2014,cash,260262859,03/05/2019,7479,11813,17769,19418,432,190,29582,353290,LifePayMoneyBack,quarterly ,483381,5800572,PREMIUM,Health,Please-pay-your-installment,17952,03/08/2020,501150,Raja,2694,1400,Life-Cover,20522,3075,5522,80CCC,Critical-illness-rider,24661,-65339,19661,50BC,FALSE,29/05/2020,27/07/2020
1863,HeartBeat,09/04/2011,online,775837183,16/09/2019,9078,18213,18866,1857,230,148,37079,294544,iHealthPlan,half-yearly,393495,4721940,NON-PREMIUM,Health,Its Good,18034,24/09/2020,412361,Surendra,9066,3856,Health-Insurance,30632,3578,15632,120CC,Critical-illness-rider,49227,-40773,44227,80CCC,FALSE,22/09/2020,31/01/2020
1864,HealthSuraksha,24/09/2018,email,824097152,08/12/2019,9410,17457,16029,7636,1207,199,33486,24261,LifePayMoneyBack,half-yearly,111220,1334640,PREMIUM,Health,Its Good,18245,20/04/2020,127249,Raja,7202,131,Car-Insurance,26114,3670,11114,80BB,Term-rider,32878,-57122,27878,80CCC,FALSE,20/08/2020,08/02/2020
1865,HealthSuraksha,02/04/2012,email,488858224,05/11/2019,2647,12422,12247,11140,304,182,24669,35827,LifePayMoneyBack,quarterly ,408262,4899144,NON-PREMIUM,Health,Its Good,17919,18/01/2020,420509,Shubham,9010,7609,Car-Insurance,32376,4858,17376,80CCC,Disability-rider,47763,-42237,42763,150CB,FALSE,14/09/2020,05/12/2020
1866,LifePayMoneyBack,06/11/2014,online,632130915,15/02/2019,3844,15275,17230,14266,531,115,32505,42620,HeartBeat,yearly,146441,1757292,PREMIUM,educational ,Its Good,18157,14/08/2020,163671,Sourabh,1156,1265,Life-Cover,28594,4964,13594,120CC,Accidental-death-benefit-rider,16118,-73882,11118,150CB,TRUE,17/10/2020,28/04/2020
1867,HeartBeat,05/02/2008,cash,640076555,22/10/2019,3285,14476,14960,1015,1527,154,29436,160088,iHealthPlan,yearly,447182,5366184,PREMIUM,Personal-liberty,Please-pay-your-installment,18071,25/06/2020,462142,Raja,6789,6936,Health-Insurance,33593,2856,18593,120CC,Disability-rider,10348,-79652,5348,50BC,TRUE,04/11/2020,29/09/2020
1868,LifePayMoneyBack,21/05/2006,cash,499973557,05/02/2019,1753,14186,16155,10266,1553,112,30341,265211,iHealthPlan,half-yearly,132958,1595496,NON-PREMIUM,educational ,Please-pay-your-installment,18155,09/06/2020,149113,Sona,8404,8522,Property-Insurance,29618,2330,14618,80BB,Critical-illness-rider,23293,-66707,18293,150CB,TRUE,16/02/2020,11/01/2020
1869,iHealthPlan,25/01/2009,online,450643043,01/06/2019,2383,10478,11514,5873,139,194,21992,122950,LifePayMoneyBack,yearly,362232,4346784,PREMIUM,Health,Please-pay-your-installment,18175,21/04/2020,373746,Shubham,74,4076,Life-Cover,25699,1233,10699,80BB,Term-rider,47398,-42602,42398,150CB,FALSE,16/11/2020,21/07/2020
1870,HeartBeat,01/05/2000,email,879359974,10/07/2019,1827,10946,15255,4011,830,138,26201,255338,iHealthPlan,half-yearly,353280,4239360,NON-PREMIUM,Personal-liberty,Please-pay-your-installment,18039,03/01/2020,368535,Sona,5984,712,Health-Insurance,38256,4065,23256,80BB,Critical-illness-rider,19942,-70058,14942,50BC,TRUE,07/02/2020,20/02/2020
1871,iHealthPlan,07/08/2017,cash,314830132,03/12/2019,3674,16148,16189,1713,151,122,32337,164740,iHealthPlan,yearly,173843,2086116,PREMIUM,Personal-liberty,Please-pay-your-installment,17932,12/11/2020,190032,Shubham,9070,668,Life-Cover,31610,3593,16610,120CC,Accidental-death-benefit-rider,31254,-58746,26254,50BC,TRUE,18/07/2020,21/05/2020
1872,LifePayMoneyBack,26/11/1994,email,864982555,21/04/2019,5522,18513,15770,1745,375,107,34283,258244,iHealthPlan,half-yearly,342227,4106724,NON-PREMIUM,Health,Its Good,18218,05/08/2020,357997,Raja,7349,3665,Life-Cover,46631,1668,31631,80CCC,Accidental-death-benefit-rider,24408,-65592,19408,150CB,TRUE,05/03/2020,11/04/2020
1873,HeartBeat,25/08/1995,online,799666708,24/10/2019,3922,13459,15151,10493,1497,125,28610,426722,iHealthPlan,half-yearly,398948,4787376,PREMIUM,educational ,Please-pay-your-installment,18152,11/06/2020,414099,Sona,7009,1602,Health-Insurance,39183,3705,24183,120CC,Critical-illness-rider,47500,-42500,42500,50BC,TRUE,26/12/2020,10/07/2020
1874,HeartBeat,17/10/1996,online,176827554,17/03/2019,9126,18600,16643,18192,376,134,35243,449065,LifePayMoneyBack,half-yearly,431605,5179260,NON-PREMIUM,Health,Its Good,18009,13/10/2020,448248,Surendra,3413,4583,Life-Cover,28409,1736,13409,80CCC,Disability-rider,38059,-51941,33059,50BC,TRUE,27/02/2020,10/07/2020
1875,HeartBeat,02/04/2009,email,230012586,29/03/2019,4328,10960,10708,3542,1298,164,21668,125480,HeartBeat,quarterly ,415269,4983228,NON-PREMIUM,Health,Please-pay-your-installment,18195,30/10/2020,425977,Sourabh,9969,3556,Life-Cover,36192,3372,21192,80BB,Critical-illness-rider,29318,-60682,24318,80CCC,TRUE,10/02/2020,12/03/2020
1876,iHealthPlan,25/05/2006,online,244394268,10/08/2019,6001,13027,19042,11736,160,130,32069,406369,LifePayMoneyBack,half-yearly,390634,4687608,NON-PREMIUM,educational ,Its Good,18024,18/12/2020,409676,Shubham,6212,1093,Life-Cover,29261,3278,14261,120CC,Critical-illness-rider,49643,-40357,44643,80CCC,TRUE,30/03/2020,21/06/2020
1877,iHealthPlan,24/06/2016,online,270313392,10/12/2019,1413,19015,17838,10278,1536,104,36853,80491,iHealthPlan,half-yearly,58768,705216,PREMIUM,Health,Its Good,17926,17/05/2020,76606,Sourabh,5864,8447,Life-Cover,41816,2251,26816,80CCC,Disability-rider,46644,-43356,41644,50BC,FALSE,27/02/2020,15/10/2020
1878,HealthSuraksha,09/12/1994,email,648891042,29/01/2019,6490,19758,18267,2111,1177,195,38025,114307,iHealthPlan,yearly,456854,5482248,PREMIUM,Health,Its Good,18216,11/04/2020,475121,Sona,1677,4903,Car-Insurance,45013,1868,30013,80CCC,Critical-illness-rider,33251,-56749,28251,150CB,TRUE,11/10/2020,10/05/2020
1879,LifePayMoneyBack,14/01/2001,cash,896399907,01/05/2019,1180,16725,12496,9503,1798,172,29221,312356,iHealthPlan,yearly,379828,4557936,NON-PREMIUM,Health,Its Good,18251,01/12/2020,392324,Shubham,223,2331,Health-Insurance,41429,4403,26429,120CC,Disability-rider,44287,-45713,39287,150CB,TRUE,09/07/2020,26/04/2020
1880,iHealthPlan,22/09/2013,online,818289458,25/08/2019,1317,15822,14908,6963,1210,198,30730,115475,HealthSuraksha,yearly,66471,797652,NON-PREMIUM,Health,Please-pay-your-installment,18046,12/09/2020,81379,Shubham,2391,9278,Health-Insurance,41729,2302,26729,80BB,Critical-illness-rider,48335,-41665,43335,80CCC,TRUE,05/07/2020,28/06/2020
1881,HeartBeat,17/02/2017,cash,289258972,27/06/2019,2362,13268,10275,10516,449,107,23543,438041,LifePayMoneyBack,yearly,183549,2202588,NON-PREMIUM,Personal-liberty,Its Good,18081,13/01/2020,193824,Shubham,7720,1230,Health-Insurance,39550,3028,24550,120CC,Term-rider,13979,-76021,8979,80CCC,TRUE,22/04/2020,08/01/2020
1882,HeartBeat,09/10/2003,cash,330003801,20/09/2019,7938,11716,10041,3950,129,195,21757,331673,HealthSuraksha,quarterly ,301768,3621216,PREMIUM,Personal-liberty,Please-pay-your-installment,18001,16/08/2020,311809,Raja,4236,6917,Car-Insurance,45038,2071,30038,80BB,Critical-illness-rider,14069,-75931,9069,50BC,TRUE,23/11/2020,18/09/2020
1883,iHealthPlan,21/06/1996,email,603329231,06/11/2019,5896,10688,14712,13835,1695,122,25400,109860,HeartBeat,half-yearly,413817,4965804,PREMIUM,Personal-liberty,Please-pay-your-installment,18149,13/09/2020,428529,Raja,1558,8417,Car-Insurance,31569,1826,16569,80CCC,Disability-rider,27614,-62386,22614,150CB,TRUE,26/07/2020,11/05/2020
1884,HealthSuraksha,02/12/1997,email,570913376,17/02/2019,8983,11912,19834,19818,1479,132,31746,353193,HeartBeat,yearly,55338,664056,NON-PREMIUM,educational ,Its Good,18135,26/06/2020,75172,Raja,9053,9263,Property-Insurance,20106,1620,5106,120CC,Disability-rider,18288,-71712,13288,50BC,TRUE,16/05/2020,14/02/2020
1885,HealthSuraksha,16/08/2008,online,233329514,10/01/2019,9317,14119,18734,17218,806,131,32853,59114,HeartBeat,quarterly ,331264,3975168,NON-PREMIUM,educational ,Its Good,17900,12/12/2020,349998,Sourabh,9446,2613,Car-Insurance,32315,2814,17315,80CCC,Accidental-death-benefit-rider,36687,-53313,31687,150CB,FALSE,02/05/2020,03/06/2020
1886,iHealthPlan,25/01/2018,online,422240283,17/02/2019,8766,10432,19239,15720,785,173,29671,217046,iHealthPlan,half-yearly,445860,5350320,PREMIUM,educational ,Its Good,18104,25/03/2020,465099,Raja,4128,7482,Health-Insurance,40167,4970,25167,80BB,Accidental-death-benefit-rider,25502,-64498,20502,80CCC,TRUE,24/07/2020,10/12/2020
